500	1050	10	10	6	6
600	1200	10	10	6	6
600	1300	10	10	6	6
600	1400	10	10	6	6
600	1600	10	10	6	6
500	1100	12	12	6	6
550	1250	12	12	6	6
550	1400	12	12	6	6
600	1500	12	12	6	6
650	1550	12	12	6	6
650	1200	14	14	6	6
650	1350	14	14	6	6
650	1500	14	14	6	6
650	1650	14	14	6	6
700	1800	14	14	6	6
650	1400	16	16	6	6
650	1550	16	16	6	6
700	1700	16	16	6	6
750	1850	16	16	6	6
750	2000	16	16	6	6
950	2650	18	18	6	6
800	1500	18	18	8	8
800	1700	18	18	8	8
800	1950	18	18	8	8
800	2050	18	18	8	8
800	2250	18	18	8	8
800	1600	20	20	8	8
800	1800	20	20	8	8
800	2000	20	20	8	8
850	2150	20	20	8	8
900	2300	20	20	8	8
1150	2450	12	12	6	6
1150	2600	12	12	8	8
