16	4.8	19.5	2.0	2.5
16	4.8	22.5	2.0	2.5
16	4.8	25.5	2.0	2.5
16	4.8	28.5	2.0	2.5
16	4.8	31.5	2.0	2.5
20	6.0	19.5	2.0	2.5
20	6.0	22.5	2.0	2.5
20	6.0	25.5	2.0	2.5
20	6.0	28.5	2.0	2.5
20	6.0	31.5	2.0	2.5
32	9.6	19.5	2.5	2.7
32	9.6	22.5	2.5	2.7
32	9.6	25.5	2.5	2.7
32	9.6	28.5	2.5	2.7
32	9.6	31.5	2.5	2.7
50	15	19.5	2.5	3.1
50	15	22.5	2.5	3.1
50	15	25.5	2.5	3.1
50	15	28.5	2.5	3.1
50	15	31.5	2.5	3.1
80	23	28.0	3.0	5.0
80	24	19.5	2.8	3.1
80	24	22.5	2.8	3.1
80	24	25.5	2.8	3.1
80	24	28.5	2.8	3.1
80	24	31.5	2.8	3.1
100	30	19.5	2.8	3.1
100	30	22.5	2.8	3.1
100	30	25.5	2.8	3.1
100	30	28.5	2.8	3.1
100	30	31.5	2.8	3.1
160	48	19.5	3.1	3.1
160	48	22.5	3.1	3.1
